catnam,catnamparent
CAST_DeleteResourceService,CAST_ResourceService
CAST_GetResourceService,CAST_ResourceService
CAST_PatchResourceService,CAST_ResourceService
CAST_PostResourceService,CAST_ResourceService
CAST_PutResourceService,CAST_ResourceService
CAST_WebServiceLinker_AnyOperation,CAST_WebServiceLinker_Operation
CAST_WebServiceLinker_DeleteOperation,CAST_WebServiceLinker_Operation
CAST_WebServiceLinker_DeleteResource,CAST_WebServiceLinker_Resource
CAST_WebServiceLinker_GetOperation,CAST_WebServiceLinker_Operation
CAST_WebServiceLinker_GetResource,CAST_WebServiceLinker_Resource
CAST_WebServiceLinker_PostOperation,CAST_WebServiceLinker_Operation
CAST_WebServiceLinker_PostResource,CAST_WebServiceLinker_Resource
CAST_WebServiceLinker_PutOperation,CAST_WebServiceLinker_Operation
CAST_WebServiceLinker_PutResource,CAST_WebServiceLinker_Resource
CAST_WebService_AnyOperation,CAST_WebService_Operation
CAST_WebService_DeleteOperation,CAST_WebService_Operation
CAST_WebService_GetOperation,CAST_WebService_Operation
CAST_WebService_PatchOperation,CAST_WebService_Operation
CAST_WebService_PostOperation,CAST_WebService_Operation
CAST_WebService_PutOperation,CAST_WebService_Operation
