familyicon,ascii,hex
Alias,e990,&#xe990
APIGateway,e991,&#xe991
App-to-App,e9e6,&#xe9e6
Authentication,e992,&#xe992
AWSLambdaFunction,e993,&#xe993
AWSLambdaFunctionInvokeBlack,e994,&#xe994
AWSLambdaInvokeFunctionBlack,e995,&#xe995
AzureFunction,e9e7,&#xe9e7
AzureFunctionGrey,e9e8,&#xe9e8
AzureFunctionInvoke,e9e9,&#xe9e9
AzureFunctionInvokeGrey,e9df,&#xe9df
Beans,e996,&#xe996
Book,e997,&#xe997
Bucket,e998,&#xe998
CallAzureFunction,e9e3,&#xe9e3
CallToJavaBean,e999,&#xe999
CallToJavaProgram,e99a,&#xe99a
CallToProgram,e99b,&#xe99b
Category,e99c,&#xe99c
Class,e99d,&#xe99d
Condition,e99e,&#xe99e
ConstraintPrimary,e99f,&#xe99f
Constructor,e9a0,&#xe9a0
Cursor,e9a1,&#xe9a1
cwe-2022-top25,e9e5,&#xe9e5
Database,e9a2,&#xe9a2
DatabaseConnection,e9a3,&#xe9a3
DatabaseView,e9a4,&#xe9a4
DataBlock,e9a5,&#xe9a5
DataModule,e9a6,&#xe9a6
DataSet,e9a7,&#xe9a7
Destructor,e9a8,&#xe9a8
Division,e9a9,&#xe9a9
Enumeration,e9aa,&#xe9aa
EnumItem,e9ab,&#xe9ab
EventHandler,e9ac,&#xe9ac
File,e9ad,&#xe9ad
Folder,e9ae,&#xe9ae
ForeignKey,e9af,&#xe9af
Form,e9b0,&#xe9b0
Function,e9b1,&#xe9b1
Index,e9b2,&#xe9b2
Lambda,e9b3,&#xe9b3
List,e9b4,&#xe9b4
ListBean,e9b5,&#xe9b5
LocalStorage,e9b6,&#xe9b6
Macro,e9b7,&#xe9b7
Namespace,e9b8,&#xe9b8
Package,e9b9,&#xe9b9
Paragraph,e9ba,&#xe9ba
Procedure,e9bb,&#xe9bb
Process,e9bc,&#xe9bc
Program,e9bd,&#xe9bd
PropertyGetter,e9be,&#xe9be
PropertySetter,e9bf,&#xe9bf
Queue,e9c0,&#xe9c0
QueueCall,e9c1,&#xe9c1
QueueReceive,e9c2,&#xe9c2
Receive,e9c3,&#xe9c3
Region,e9c4,&#xe9c4
ResourceServiceDelete,e9c5,&#xe9c5
ResourceServiceGet,e9c6,&#xe9c6
ResourceServicePost,e9c7,&#xe9c7
ResourceServicePut,e9c8,&#xe9c8
RouteFrom,e9c9,&#xe9c9
RouteTo,e9ca,&#xe9ca
Schema,e9cb,&#xe9cb
Section,e9cc,&#xe9cc
Service,e9cd,&#xe9cd
SQLNamedQuery,e9ce,&#xe9ce
Synonym,e9cf,&#xe9cf
Table,e9d0,&#xe9d0
TableColumn,e9d1,&#xe9d1
Trigger,e9d2,&#xe9d2
UIButton,e9d3,&#xe9d3
UITextField,e9d4,&#xe9d4
UIView,e9d5,&#xe9d5
UniqueKey,e9d6,&#xe9d6
UnknownAzureFunction,e9e4,&#xe9e4
Variable,e9d7,&#xe9d7
WebService,e9d8,&#xe9d8
SignalR,e9ed,&#xe9ed
CallToSignalR,e9ee,&#xe9ee
