RuleID,RuleName,Tag,TCID,TCName
1106004,Ensure CLOB data type is not used,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106004,Ensure CLOB data type is not used,AIP-M2C-Oracle,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106004,Ensure CLOB data type is not used,AIP-M2C-DataType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106016,Ensure you don't have unsupported PL/SQL packages UTL_HTTP and UTL_SMTP,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106016,Ensure you don't have unsupported PL/SQL packages UTL_HTTP and UTL_SMTP,AIP-M2C-DataType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106000,Ensure you don't have unsupported PL/SQL packages,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106000,Ensure you don't have unsupported PL/SQL packages,AIP-M2C-Oracle,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106000,Ensure you don't have unsupported PL/SQL packages,AIP-M2C-ObjectType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106030,Ensure INDEX-ORGANIZED TABLEs (IOT) are not used,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106030,Ensure INDEX-ORGANIZED TABLEs (IOT) are not used,AIP-M2C-ObjectType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106028,Ensure you don't have unsupported clause CLUSTER in CREATE TABLE statements,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106028,Ensure you don't have unsupported clause CLUSTER in CREATE TABLE statements,AIP-M2C-Oracle,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106028,Ensure you don't have unsupported clause CLUSTER in CREATE TABLE statements,AIP-M2C-Syntax,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106024,Ensure you don't have unsupported clause SHARDED in CREATE TABLE statements,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106024,Ensure you don't have unsupported clause SHARDED in CREATE TABLE statements,AIP-M2C-ObjectType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106032,Ensure you don't have unsupported ROWID data type and pseudocolumn,AIP-M2C-ObjectType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106032,Ensure you don't have unsupported ROWID data type and pseudocolumn,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106032,Ensure you don't have unsupported ROWID data type and pseudocolumn,AIP-M2C-Oracle,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106032,Ensure you don't have unsupported ROWID data type and pseudocolumn,AIP-M2C-DataType,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
1106018,Ensure you don't have unsupported PL/SQL procedures DBMS_LOGMNR.ADD_LOGFILE and DBMS_LOGMNR.REMOVE_LOGFILE,AIP-M2C-Replatform,61033,Cloud Migration - Oracle Database to Oracle Cloud Database
