id,typnam,familyicon,genericicon,typdsc
8,SQUARELATION,Package,Package,SQUARERELATION
33,PB_WINDOW,UIView,UIView,PB Window
34,PB_FUNCTION,Function,FunctionBlue,PB Function
35,PB_DATAWINDOW,UIView,UIView,PB Datawindow
36,PB_STRUCTURE,Class,Class,PB Structure
37,PB_USEROBJECT,DataBlock,DataBlock,PB Userobject
38,PB_MENU,UIView,UIView,PB Menu
39,PB_APPLICATION,Package,PackageRed,PB Application
40,PB_PROXYOBJECT,Service,ServiceBlue,PB Proxyobject
41,PB_RPCFUNC,Function,FunctionAction,PB RPC Function
43,PB_FUNCINCLASS,Function,FunctionBlue,PB Method
44,PB_EVENT,EventHandler,EventHandler,PB Event
45,PB_DATASTORE,Database,Database,PB Datastore
46,PB_CONTROL,UIButton,UIButton,PB Control
47,PB_EXTFUNCTION,Function,FunctionBlue,External Function
48,PB_DEC_PROC,Procedure,Procedure,PB Declare Proc
49,PB_DEC_CURSOR,Cursor,Cursor,PB Declare Cursor
50,PB_LIBRARY,Package,Package,PB Library
52,VB_FORM,Form,Form,VB Form
53,VB_MDI_FORM,Form,Form,VB MDI Form
54,VB_MODULE,Package,Module,VB Module
55,VB_CLASS_MODULE,Class,Class,VB Class Module
56,VB_USER_CONTROL,UIButton,UIButton,VB User Control
57,VB_PROPERTY_PAGE,Variable,VariablePropertyBlue,VB Property Page
58,VB_USER_DOC,Service,ServiceBlue,VB User Document
59,VB_DESIGNER,File,File_Grey,VB Designer Files
60,VB_CONTROL,UIButton,UIButton,VB Control
61,VB_SUB,Service,ServiceGreen,VB Sub
62,VB_FUNCTION,Function,FunctionBlue,VB Function
63,VB_PROPERTY_LET,PropertyGetter,PropertyGetter,VB Property Let
64,VB_PROPERTY_GET,PropertyGetter,PropertyGetter,VB Property Get
65,VB_PROPERTY_SET,PropertySetter,PropertySetter,VB Property Set
66,VB_EVENT,EventHandler,EventHandler,VB Event
67,VB_EXTFUNCTION,Package,Package,VB External Function
68,VB_EXTSUB,Service,ServiceBrown,VB External Sub
69,VB_ENUM,Enumeration,Enumeration,VB Enum
70,VB_TYPE,Variable,Variable,VB Type
71,VB_CONST,Variable,Variable,VB Const
72,VB_VAR,Variable,Variable,VB Variable
77,VB_PROJECT_GROUP,Folder,FolderDarkBlue,VB Project Group
81,CAST_Com_Interface,Class,Class,COM Interface
82,CAST_Com_DispInterface,UIView,UIView,COM Dispinterface
83,CAST_Com_CoClass,Class,Class,COM CoClass
86,CAST_Com_PropGet,PropertyGetter,PropertyGetter,COM PropGet
87,CAST_Com_PropPut,PropertySetter,PropertySetter,COM PropPut
88,CAST_Com_PropPutRef,PropertyGetter,PropertyGetter,COM PropPutRef
89,CAST_Com_Method,Function,FunctionBlue,COM Method
99,JV_PACKAGE,Package,PackageOrange,Java Package
100,JV_CLASS,Class,Class,Java Class
101,JV_CTOR,Constructor,Constructor,Java Constructor
102,JV_METHOD,Function,FunctionOrange,Java Method
103,JV_FIELD,Variable,Variable,Java Field
104,JV_INTERFACE,Category,Category,Java Interface
105,JV_INIT,Function,FunctionBlueBracket,Java Initializer
106,CAST_Forms_Trigger,Trigger,Trigger,Oracle Forms Trigger
107,CAST_Forms_Module,File,File_FMB,Oracle Forms Module
108,CAST_Forms_DataBlock,DataBlock,DataBlock,Oracle Forms DataBlock
109,CAST_Forms_DataBlockItem,DataBlock,DataBlockItem,Oracle Forms DataBlock Item
110,CAST_Forms_MenuModule,File,File_MMB,Oracle Forms Menu Module
111,CAST_Forms_Menu,UIView,Menu,Oracle Forms Menu
112,CAST_Forms_MenuItem,UIView,MenuItem,Oracle Forms Menu Item
113,CAST_Forms_PlsqlModule,File,File_PLL,Oracle Forms PL/SQL Library
122,CAST_Forms_Procedure,Procedure,Procedure,Oracle Forms Procedure
123,CAST_Forms_Function,Function,FunctionPurple,Oracle Forms Function
124,CAST_Forms_Package,Package,PackageOrange,Oracle Forms Package
125,CAST_Forms_PackageBody,Package,PackageOrange,Oracle Forms Package Body
215,JV_EJB_ENTITY,DataBlock,DataObjectBrown,Entity Java Bean
216,JV_EJB_SESSION,Service,ServiceRed,Session Java Bean
222,CAST_Forms_RecordGroup,DataBlock,DataObject,Oracle Forms Record Group
223,CAST_Forms_LOV,List,List,Oracle Forms LOV
224,CAST_Forms_PopupMenu,UIView,Menu,Oracle Forms Popup Menu
225,CAST_Forms_PopupMenuItem,UIView,MenuItem,Oracle Forms Popup Menu Item
229,CAST_Com_Property,Variable,Variable,COM Property
237,CAST_Com_TypeLibCwmmImported,Folder,FolderDarkBlue,Imported COM Components
268,JSP_SERVLET,Service,ServiceOrange,Servlet
269,JV_APPLET,Class,Class,Applet
273,CAST_Web_Variable,Variable,Variable,eVariable
274,CAST_Web_File,File,File_HTML,eFile
275,CAST_Web_FunctionClass,Class,Class,eClass
279,CAST_Web_Directory,Folder,FolderDarkBlue,eDirectory
282,JSP_BEAN,Beans,Beans,J2EE Scoped Bean
283,JSP_BEAN_PROP,Beans,Beans,Bean Property
284,JSP_TAG_LIB,Package,Package,JSP Custom Tag Library
285,JSP_TAG,Variable,Annotation,JSP Custom Tag
286,JSP_TAG_ATTR,Variable,Annotation,JSP Custom Tag Attribute
290,JSP_SERVLET_MAPPING,Package,ProcessRed,Servlet Mapping
292,CAST_Forms_PropertyClass,Class,Class,Oracle Forms Property Class
293,CAST_Forms_VisualAttributes,UITextField,UITextFields,Oracle Forms Visual Attributes
307,CAST_Web_FunctionEvent,EventHandler,EventHandler,eEvent
308,CAST_Web_FunctionFunction,Function,FunctionOrangeBracket,eFunction
309,CAST_Web_FunctionProcedure,Procedure,Procedure,eSub
310,CAST_Web_FunctionMethod,Function,FunctionBlue,eMethod
311,CAST_Web_FunctionPropertyGet,PropertyGetter,PropertyGetter,ePropertyGet
314,CAST_Forms_Trigger_Tab,Trigger,TriggerRedCorner,Oracle Forms Library Tab Trigger
315,CAST_Forms_DataBlock_Tab,DataBlock,DataBlockRedCorner,Oracle Forms Library Tab DataBlock
316,CAST_Forms_DataBlockItem_Tab,DataBlock,DataBlockItemRedCorner,Oracle Forms Library Tab DataBlock Item
317,CAST_Forms_Menu_Tab,UIView,MenuRedCorner,Oracle Forms Library Tab Menu
318,CAST_Forms_MenuItem_Tab,UIView,MenuItemRedCorner,Oracle Forms Library Tab Menu Item
319,CAST_Forms_Procedure_Tab,Procedure,ProcedureRedCorner,Oracle Forms Library Tab Procedure
320,CAST_Forms_Function_Tab,Function,FunctionPurpleRedCorner,Oracle Forms Library Tab Function
321,CAST_Forms_Package_Tab,Package,PackageOrangeRedCorner,Oracle Forms Library Tab Package
322,CAST_Forms_PackageBody_Tab,Package,PackageOrangeRedCorner,Oracle Forms Library Tab Package
323,CAST_Forms_RecordGroup_Tab,DataBlock,DataObjectRedCorner,Oracle Forms Library Tab Record group
324,CAST_Forms_LOV_Tab,List,ListRedCorner,Oracle Forms Library Tab LOV
325,CAST_Forms_PropertyClass_Tab,Class,ClassRedCorner,Oracle Forms Library Tab Property Class
326,CAST_Forms_VisualAttributes_Tab,UITextField,UITextFieldsRedCorner,Oracle Forms Library Tab Visual Attributes
327,CAST_Forms_ObjectLibrary,File,File_OLB,Oracle Forms Object Library
328,CAST_Forms_ObjectLibraryTab,Package,ModuleRedCorner,Oracle Forms Library Tab
357,PLSQLFILE,File,File_SQL,PL/SQL Script
362,CAST_Web_FunctionPropertyLet,Variable,VariablePropertyBlue,ePropertyLet
