internalName,color
PB_WINDOW,"rgb(143, 15, 8)"
PB_FUNCTION,"rgb(143, 15, 8)"
PB_DATAWINDOW,"rgb(143, 15, 8)"
PB_STRUCTURE,"rgb(143, 15, 8)"
PB_USEROBJECT,"rgb(143, 15, 8)"
PB_MENU,"rgb(143, 15, 8)"
PB_APPLICATION,"rgb(143, 15, 8)"
PB_PROXYOBJECT,"rgb(143, 15, 8)"
PB_RPCFUNC,"rgb(143, 15, 8)"
PB_FUNCINCLASS,"rgb(143, 15, 8)"
PB_EVENT,"rgb(143, 15, 8)"
PB_DATASTORE,"rgb(143, 15, 8)"
PB_CONTROL,"rgb(143, 15, 8)"
PB_EXTFUNCTION,"rgb(143, 15, 8)"
PB_DEC_PROC,"rgb(143, 15, 8)"
PB_DEC_CURSOR,"rgb(143, 15, 8)"
PB_LIBRARY,"rgb(143, 15, 8)"
VB_FORM,"rgb(49, 79, 176)"
VB_MDI_FORM,"rgb(49, 79, 176)"
VB_MODULE,"rgb(49, 79, 176)"
VB_CLASS_MODULE,"rgb(49, 79, 176)"
VB_USER_CONTROL,"rgb(49, 79, 176)"
VB_PROPERTY_PAGE,"rgb(49, 79, 176)"
VB_USER_DOC,"rgb(49, 79, 176)"
VB_DESIGNER,"rgb(49, 79, 176)"
VB_CONTROL,"rgb(49, 79, 176)"
VB_SUB,"rgb(49, 79, 176)"
VB_FUNCTION,"rgb(49, 79, 176)"
VB_PROPERTY_LET,"rgb(49, 79, 176)"
VB_PROPERTY_GET,"rgb(49, 79, 176)"
VB_PROPERTY_SET,"rgb(49, 79, 176)"
VB_EVENT,"rgb(49, 79, 176)"
VB_EXTFUNCTION,"rgb(49, 79, 176)"
VB_EXTSUB,"rgb(49, 79, 176)"
VB_ENUM,"rgb(49, 79, 176)"
VB_TYPE,"rgb(49, 79, 176)"
VB_CONST,"rgb(49, 79, 176)"
VB_VAR,"rgb(49, 79, 176)"
VB_PROJECT_GROUP,"rgb(49, 79, 176)"
CAST_Com_Interface,"rgb(148, 0, 255)"
CAST_Com_DispInterface,"rgb(148, 0, 255)"
CAST_Com_CoClass,"rgb(148, 0, 255)"
CAST_Com_PropGet,"rgb(148, 0, 255)"
CAST_Com_PropPut,"rgb(148, 0, 255)"
CAST_Com_PropPutRef,"rgb(148, 0, 255)"
CAST_Com_Method,"rgb(148, 0, 255)"
JV_PACKAGE,"rgb(176, 114, 1)"
JV_CLASS,"rgb(176, 114, 1)"
JV_CTOR,"rgb(176, 114, 1)"
JV_METHOD,"rgb(176, 114, 1)"
JV_FIELD,"rgb(176, 114, 1)"
JV_INTERFACE,"rgb(176, 114, 1)"
JV_INIT,"rgb(176, 114, 1)"
CAST_Forms_Trigger,"rgb(223, 18, 18)"
CAST_Forms_Module,"rgb(223, 18, 18)"
CAST_Forms_DataBlock,"rgb(223, 18, 18)"
CAST_Forms_DataBlockItem,"rgb(223, 18, 18)"
CAST_Forms_MenuModule,"rgb(223, 18, 18)"
CAST_Forms_Menu,"rgb(223, 18, 18)"
CAST_Forms_MenuItem,"rgb(223, 18, 18)"
CAST_Forms_PlsqlModule,"rgb(223, 18, 18)"
CAST_Forms_Procedure,"rgb(223, 18, 18)"
CAST_Forms_Function,"rgb(223, 18, 18)"
CAST_Forms_Package,"rgb(223, 18, 18)"
CAST_Forms_PackageBody,"rgb(223, 18, 18)"
JV_EJB_ENTITY,"rgb(124, 42, 0)"
JV_EJB_SESSION,"rgb(124, 42, 0)"
CAST_Forms_RecordGroup,"rgb(223, 18, 18)"
CAST_Forms_LOV,"rgb(223, 18, 18)"
CAST_Forms_PopupMenu,"rgb(223, 18, 18)"
CAST_Forms_PopupMenuItem,"rgb(223, 18, 18)"
CAST_Com_Property,"rgb(148, 0, 255)"
CAST_Com_TypeLibCwmmImported,"rgb(148, 0, 255)"
JSP_SERVLET,"rgb(42, 98, 119)"
JV_APPLET,"rgb(176, 114, 1)"
CAST_Web_Variable,"rgb(227, 76, 2)"
CAST_Web_File,"rgb(227, 76, 2)"
CAST_Web_FunctionClass,"rgb(227, 76, 2)"
CAST_Web_Directory,"rgb(227, 76, 2)"
JSP_BEAN,"rgb(42, 98, 119)"
JSP_BEAN_PROP,"rgb(42, 98, 119)"
JSP_TAG_LIB,"rgb(42, 98, 119)"
JSP_TAG,"rgb(42, 98, 119)"
JSP_TAG_ATTR,"rgb(42, 98, 119)"
JSP_SERVLET_MAPPING,"rgb(42, 98, 119)"
CAST_Forms_PropertyClass,"rgb(223, 18, 18)"
CAST_Forms_VisualAttributes,"rgb(223, 18, 18)"
CAST_Web_FunctionEvent,"rgb(227, 76, 2)"
CAST_Web_FunctionFunction,"rgb(227, 76, 2)"
CAST_Web_FunctionProcedure,"rgb(227, 76, 2)"
CAST_Web_FunctionMethod,"rgb(227, 76, 2)"
CAST_Web_FunctionPropertyGet,"rgb(227, 76, 2)"
CAST_Forms_Trigger_Tab,"rgb(223, 18, 18)"
CAST_Forms_DataBlock_Tab,"rgb(223, 18, 18)"
CAST_Forms_DataBlockItem_Tab,"rgb(223, 18, 18)"
CAST_Forms_Menu_Tab,"rgb(223, 18, 18)"
CAST_Forms_MenuItem_Tab,"rgb(223, 18, 18)"
CAST_Forms_Procedure_Tab,"rgb(223, 18, 18)"
CAST_Forms_Function_Tab,"rgb(223, 18, 18)"
CAST_Forms_Package_Tab,"rgb(223, 18, 18)"
CAST_Forms_PackageBody_Tab,"rgb(223, 18, 18)"
CAST_Forms_RecordGroup_Tab,"rgb(223, 18, 18)"
CAST_Forms_LOV_Tab,"rgb(223, 18, 18)"
CAST_Forms_PropertyClass_Tab,"rgb(223, 18, 18)"
CAST_Forms_VisualAttributes_Tab,"rgb(223, 18, 18)"
CAST_Forms_ObjectLibrary,"rgb(223, 18, 18)"
CAST_Forms_ObjectLibraryTab,"rgb(223, 18, 18)"
PLSQLFILE,"rgb(241, 8, 8)"
CAST_Web_FunctionPropertyLet,"rgb(227, 76, 2)"
JSP_PROPERTY_MAPPING,"rgb(42, 98, 119)"
JSP_APPDESCRIPTOR,"rgb(42, 98, 119)"
JSP_PROPERTIES_FILE,"rgb(42, 98, 119)"
JSP_XMLCONFIG_FILE,"rgb(42, 98, 119)"
JSP_ACTION_MAPPING,"rgb(0, 77, 101)"
CAST_Web_FunctionPropertySet,"rgb(227, 76, 2)"
C_FILE,"rgb(243, 75, 7)"
C_CLASS,"rgb(243, 75, 7)"
C_METHOD,"rgb(243, 75, 7)"
C_GLOBAL,"rgb(243, 75, 7)"
C_FUNCTION,"rgb(243, 75, 7)"
C_MACRO,"rgb(243, 75, 7)"
CAST_Web_Instance,"rgb(227, 76, 2)"
C_ROOTDIRECTORY,"rgb(243, 75, 7)"
C_DIRECTORY,"rgb(243, 75, 7)"
JV_EJB_MESSAGE,"rgb(124, 42, 0)"
PLSQLANALYSE,"rgb(241, 8, 8)"
CAST_COBOL_Copybook,"rgb(97, 36, 219)"
CAST_COBOL_SavedProgram,"rgb(97, 36, 219)"
CAST_COBOL_Interface,"rgb(97, 36, 219)"
CAST_COBOL_Class,"rgb(97, 36, 219)"
CAST_COBOL_SavedSection,"rgb(97, 36, 219)"
CAST_COBOL_Directory,"rgb(97, 36, 219)"
COBOL_ROOTDIRECTORY,"rgb(97, 36, 219)"
CAST_COBOL_Entry,"rgb(97, 36, 219)"
CAST_Web_URLDirectory,"rgb(227, 76, 2)"
PB_GLOBALVARIABLE,"rgb(143, 15, 8)"
PB_MEMBERVARIABLE,"rgb(143, 15, 8)"
C_GLOBALVARIABLE,"rgb(243, 75, 7)"
C_MEMBER,"rgb(243, 75, 7)"
C_CLASSFOLDER,"rgb(243, 75, 7)"
CAST_JCL_CatalogedJob,"rgb(62, 74, 148)"
CAST_JCL_CatalogedProcedure,"rgb(62, 74, 148)"
CAST_JCL_AnalyzedIncludedFile,"rgb(62, 74, 148)"
CAST_JCL_InstreamProcedure,"rgb(62, 74, 148)"
CAST_JCL_Step,"rgb(62, 74, 148)"
CAST_JCL_Directory,"rgb(62, 74, 148)"
CAST_JCL_RootDirectory,"rgb(62, 74, 148)"
C_DESTRUCTOR,"rgb(243, 75, 7)"
C_CONSTRUCTOR,"rgb(243, 75, 7)"
C_STRUCT,"rgb(243, 75, 7)"
