typnam,concept
AbapConstructor,Class Constructor
AbapInterface,UI
AbapInterfacePool,UI
CAST_ABAP_SAPTableColumn,Table Column
CAST_ABAP_SAPUnresolvedTable,Data Source
CAST_ABAP_SAPUnresolvedTable,Table
CAST_ASETSQL_DML_Trigger,Data Object
CAST_ASETSQL_DML_Trigger,Trigger
CAST_ASETSQL_Database,Storage
CAST_ASETSQL_ExternalDatabase,Storage
CAST_ASETSQL_ExternalSchema,Schema
CAST_ASETSQL_JFunction,Data Object
CAST_ASETSQL_Procedure,Procedure
CAST_ASETSQL_Procedure,Data Object
CAST_ASETSQL_RelationalTable,Data Source
CAST_ASETSQL_RelationalTable,Table
CAST_ASETSQL_Schema,Schema
CAST_ASETSQL_TableColumn,Table Column
CAST_ASETSQL_View,Data Source
CAST_ASETSQL_ViewColumn,Table Column
CAST_AWSDotNet_Lambda,Cloud Function
CAST_AWSDotNet_Lambda_Function_ANY,Web Services
CAST_AWSDotNet_Lambda_Function_GET,Exposed Web Services
CAST_AWSDotNet_S3_Bucket,Cloud Resource
CAST_AWSDotNet_SQS_Receiver,Message Queue Subscriber
CAST_AWSDotNet_SQS_Unknown_Receiver,Message Queue Subscriber
CAST_AWSDotNet_Unknown_S3_Bucket,Cloud Resource
CAST_AWSJava_AWS_Lambda,Cloud Function
CAST_AWSJava_AnyOperation,Web Services
CAST_AWSJava_DeleteOperation,Exposed Web Services
CAST_AWSJava_GetOperation,Exposed Web Services
CAST_AWSJava_PostHttpRequestService,Web Services Call
CAST_AWSJava_PostOperation,Exposed Web Services
CAST_AWSJava_PutOperation,Exposed Web Services
CAST_AWSJava_S3_Bucket,Cloud Resource
CAST_AWSJava_S3_Bucket,Data Source
CAST_AWSJava_SNS_Publisher,Message Queue Publisher
CAST_AWSJava_SNS_Subscriber,Message Queue Subscriber
CAST_AWSJava_SNS_Unknown_Publisher,Message Queue Publisher
CAST_AWSJava_SNS_Unknown_Subscriber,Message Queue Subscriber
CAST_AWSJava_SQS_Publisher,Message Queue Publisher
CAST_AWSJava_SQS_Receiver,Message Queue Subscriber
CAST_AWSJava_SQS_Unknown_Publisher,Message Queue Publisher
CAST_AWSJava_SQS_Unknown_Receiver,Message Queue Subscriber
CAST_AWSJava_Unknown_S3_Bucket,Cloud Resource
CAST_AWT_UI,UI
CAST_ActiveMQ_Java_QueueCall,Message Queue Publisher
CAST_ActiveMQ_Java_QueueReceive,Message Queue Subscriber
CAST_ActiveMQ_Python_QueueCall,Message Queue Publisher
CAST_ActiveMQ_Python_QueueReceive,Message Queue Subscriber
CAST_Android_Button,UI
CAST_Android_CheckBox,UI
CAST_Android_DeleteResourceService,Web Services Call
CAST_Android_EditText,UI
CAST_Android_ExternalStorage,Storage Connection
CAST_Android_GetResourceService,Web Services Call
CAST_Android_GridView,UI
CAST_Android_Group,UI
CAST_Android_InternalStorage,Storage Connection
CAST_Android_Item,UI
CAST_Android_Layout,UI
CAST_Android_LinearLayout,UI
CAST_Android_ListView,UI
CAST_Android_Menu,UI
CAST_Android_PostResourceService,Web Services Call
CAST_Android_PutResourceService,Web Services Call
CAST_Android_RelativeLayout,UI
CAST_Android_SharedPreferences,Storage Connection
CAST_Android_Spinner,UI
CAST_Android_Switch,UI
CAST_Android_TextView,UI
CAST_Android_TimePicker,UI
CAST_Android_UndefinedWidget,UI
CAST_Android_WebView,UI
CAST_AngularJS_DeleteHttpService,Web Services Call
CAST_AngularJS_DeleteResourceService,Web Services Call
CAST_AngularJS_GetHttpService,Web Services Call
CAST_AngularJS_GetResourceService,Web Services Call
CAST_AngularJS_PostHttpService,Web Services Call
CAST_AngularJS_PostResourceService,Web Services Call
CAST_AngularJS_PutHttpService,Web Services Call
CAST_AngularJS_PutResourceService,Web Services Call
CAST_AngularJS_Service,Web Services
CAST_ApacheCamel_ActiveMQ_QueueCall,Message Queue Publisher
CAST_ApacheCamel_ActiveMQ_Queue_Receive,Message Queue Subscriber
CAST_ApacheCamel_DatabaseQuery,Data Query
CAST_ApacheCamel_HTTP_AnyOperation,Web Services
CAST_ApacheCamel_HTTP_DeleteOperation,Exposed Web Services
CAST_ApacheCamel_HTTP_GetOperation,Exposed Web Services
CAST_ApacheCamel_HTTP_PostOperation,Exposed Web Services
CAST_ApacheCamel_HTTP_PutOperation,Exposed Web Services
CAST_ApacheCamel_IBM_QueueCall,Message Queue Publisher
CAST_ApacheCamel_IBM_QueueReceive,Message Queue Subscriber
CAST_ApacheCamel_JMS_QueueCall,Message Queue Publisher
CAST_ApacheCamel_JMS_QueueReceive,Message Queue Subscriber
CAST_ApacheCamel_Kafka_TopicCall,Message Queue Publisher
CAST_ApacheCamel_RabbitMQ_TopicCall,Message Queue Publisher
CAST_ApacheCamel_RabbitMQ_TopicReceive,Message Queue Subscriber
CAST_ApacheCamel_Unknown_ActiveMQ_QueueCall,Message Queue Publisher
CAST_ApacheCamel_Unknown_ActiveMQ_QueueReceive,Message Queue Subscriber
CAST_ApacheCamel_Unknown_IBM_QueueCall,Message Queue Publisher
