typnam,stacknam,technonam
ASMZOSProgram,Assembler,Assembler
ASM_MACRO,Assembler,Assembler
AbapAlias,ABAP,ABAP
AbapClass,ABAP,ABAP
AbapClassPool,ABAP,ABAP
AbapConstructor,ABAP,ABAP
AbapEvent,ABAP,ABAP
AbapEventMethod,ABAP,ABAP
AbapInterface,ABAP,ABAP
AbapInterfacePool,ABAP,ABAP
AbapMember,ABAP,ABAP
AbapMethod,ABAP,ABAP
BO_CLASS,SAP BusinessObjects,SAP BusinessObjects
BO_CONDITION,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_FILE,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_OLAP,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_PROC,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_PROVIDER,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_SQL,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_VBA,SAP BusinessObjects,SAP BusinessObjects
BO_DATA_XML,SAP BusinessObjects,SAP BusinessObjects
BO_DOCUMENT,SAP BusinessObjects,SAP BusinessObjects
BO_LISTOFVALUE,SAP BusinessObjects,SAP BusinessObjects
BO_OBJECT_DET,SAP BusinessObjects,SAP BusinessObjects
BO_OBJECT_DIM,SAP BusinessObjects,SAP BusinessObjects
BO_OBJECT_IND,SAP BusinessObjects,SAP BusinessObjects
BO_REPORT,SAP BusinessObjects,SAP BusinessObjects
BO_UNIVERSE,SAP BusinessObjects,SAP BusinessObjects
BO_WEBI_DOCUMENT,SAP BusinessObjects,SAP BusinessObjects
CAST_ABAP_ConstantAbapMember,ABAP,ABAP
CAST_ABAP_FileLevelCodeUnit,ABAP,ABAP
CAST_ABAP_Package,ABAP,ABAP
CAST_ABAP_SAPModule,ABAP,ABAP
CAST_ABAP_SAPTableColumn,SAP OpenSQL,SAP OpenSQL
CAST_ABAP_SAPTableForeignKey,SAP OpenSQL,SAP OpenSQL
CAST_ABAP_SAPTableIndex,SAP OpenSQL,SAP OpenSQL
CAST_ABAP_SAPTablePrimaryKey,SAP OpenSQL,SAP OpenSQL
CAST_ABAP_SAPUnresolvedTable,SAP OpenSQL,SAP OpenSQL
CAST_ANSISQL_Domain,SQL,SQL
CAST_ANSISQL_ExternalObject,SQL,SQL
CAST_ANSISQL_Owner,SQL,SQL
CAST_ANSISQL_UnresolvedColumn,ANSI SQL,ANSI SQL
CAST_ASETSQL_DML_Trigger,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_Database,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_ExternalDatabase,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_ExternalInstance,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_ExternalSchema,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_ForeignKeyConstraint,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_Index,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_Instance,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_JFunction,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_PrimaryKeyConstraint,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_Procedure,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_RelationalTable,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_Schema,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_TableColumn,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_UniqueConstraint,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_View,Sybase T-SQL,Sybase T-SQL
CAST_ASETSQL_ViewColumn,Sybase T-SQL,Sybase T-SQL
CAST_AST_ANSISQL_AnonymousDatatype,Oracle PLSQL,Oracle PLSQL
CAST_AWSDotNet_AWS_Lambda_Call,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Email,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda_Function_ANY,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda_Function_DELETE,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda_Function_GET,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda_Function_POST,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Lambda_Function_PUT,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_PostHttpRequestService,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_S3_Bucket,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_S3_Region,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SMS,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SNS_Publisher,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SNS_Subscriber,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SNS_Unknown_Publisher,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SNS_Unknown_Subscriber,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SQS_Publisher,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SQS_Receiver,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SQS_Unknown_Publisher,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_SQS_Unknown_Receiver,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Unknown_AWS_Lambda_Call,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Unknown_S3_Bucket,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSDotNet_Unknown_S3_Region,AWS SDK for .NET,AWS SDK for .NET
CAST_AWSJava_AWS_Lambda,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_AnyOperation,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_DeleteOperation,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_Email,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_GetOperation,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_PostHttpRequestService,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_PostOperation,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_PutOperation,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_S3_Bucket,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_S3_Region,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SMS,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SNS_Publisher,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SNS_Subscriber,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SNS_Unknown_Publisher,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SNS_Unknown_Subscriber,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SQSReceiver,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SQS_Publisher,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SQS_Receiver,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SQS_Unknown_Publisher,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_SQS_Unknown_Receiver,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_Unknown_S3_Bucket,AWS SDK for Java,AWS SDK for Java
CAST_AWSJava_Unknown_S3_Region,AWS SDK for Java,AWS SDK for Java
CAST_AWT_UI,Java AWT,Java AWT
CAST_ActiveMQ_Java_QueueCall,Java,Java
CAST_ActiveMQ_Java_QueueReceive,Java,Java
CAST_ActiveMQ_Python_QueueCall,Python,Python
CAST_ActiveMQ_Python_QueueReceive,Python,Python
CAST_Android_Application,Android Mobile,Android Mobile
CAST_Android_Button,Android Mobile,Android Mobile
CAST_Android_CheckBox,Android Mobile,Android Mobile
CAST_Android_DeleteResourceService,Android Mobile,Android Mobile
CAST_Android_EditText,Android Mobile,Android Mobile
CAST_Android_EventHandler,Android Mobile,Android Mobile
CAST_Android_Exposed_Activity,Android Mobile,Android Mobile
CAST_Android_Exposed_Receiver,Android Mobile,Android Mobile
CAST_Android_Exposed_Service,Android Mobile,Android Mobile
CAST_Android_ExternalStorage,Android Mobile,Android Mobile
CAST_Android_GetResourceService,Android Mobile,Android Mobile
CAST_Android_GridView,Android Mobile,Android Mobile
CAST_Android_Group,Android Mobile,Android Mobile
CAST_Android_Intent_Resource,Android Mobile,Android Mobile
CAST_Android_InternalStorage,Android Mobile,Android Mobile
CAST_Android_Item,Android Mobile,Android Mobile
CAST_Android_Kotlin_Application,Android Mobile,Android Mobile
