id,typnam,familyicon,genericicon
8,SQUARELATION,,
33,PB_WINDOW,,
34,PB_FUNCTION,Function,FunctionBlue
35,PB_DATAWINDOW,,
36,PB_STRUCTURE,,
37,PB_USEROBJECT,,
38,PB_MENU,,
39,PB_APPLICATION,,
40,PB_PROXYOBJECT,,
41,PB_RPCFUNC,Function,FunctionAction
43,PB_FUNCINCLASS,Function,FunctionBlue
44,PB_EVENT,,
45,PB_DATASTORE,,
46,PB_CONTROL,,
47,PB_EXTFUNCTION,Function,FunctionBlue
48,PB_DEC_PROC,,
49,PB_DEC_CURSOR,,
50,PB_LIBRARY,,
52,VB_FORM,Form,Form
53,VB_MDI_FORM,Form,Form
54,VB_MODULE,Package,Module
55,VB_CLASS_MODULE,Class,Class
56,VB_USER_CONTROL,UIButton,UIButton
57,VB_PROPERTY_PAGE,Variable,VariablePropertyBlue
58,VB_USER_DOC,Service,ServiceBlue
59,VB_DESIGNER,File,File_Grey
60,VB_CONTROL,UIButton,UIButton
61,VB_SUB,Service,ServiceGreen
62,VB_FUNCTION,Function,FunctionBlue
63,VB_PROPERTY_LET,PropertyGetter,PropertyGetter
64,VB_PROPERTY_GET,PropertyGetter,PropertyGetter
65,VB_PROPERTY_SET,PropertySetter,PropertySetter
66,VB_EVENT,EventHandler,EventHandler
67,VB_EXTFUNCTION,Package,Package
68,VB_EXTSUB,Service,ServiceBrown
69,VB_ENUM,Enumeration,Enumeration
70,VB_TYPE,Variable,Variable
71,VB_CONST,Variable,Variable
72,VB_VAR,Variable,Variable
77,VB_PROJECT_GROUP,Folder,FolderDarkBlue
81,CAST_Com_Interface,,
82,CAST_Com_DispInterface,,
83,CAST_Com_CoClass,,
86,CAST_Com_PropGet,PropertyGetter,PropertyGetter
87,CAST_Com_PropPut,,
88,CAST_Com_PropPutRef,PropertyGetter,PropertyGetter
89,CAST_Com_Method,Function,FunctionBlue
99,JV_PACKAGE,Package,PackageOrange
100,JV_CLASS,Class,Class
101,JV_CTOR,Constructor,Constructor
102,JV_METHOD,Function,FunctionOrange
103,JV_FIELD,Variable,Variable
104,JV_INTERFACE,Category,Category
105,JV_INIT,Function,FunctionBlueBracket
106,CAST_Forms_Trigger,Trigger,Trigger
107,CAST_Forms_Module,File,File_FMB
108,CAST_Forms_DataBlock,DataBlock,DataBlock
109,CAST_Forms_DataBlockItem,DataBlock,DataBlockItem
110,CAST_Forms_MenuModule,File,File_MMB
111,CAST_Forms_Menu,UIView,Menu
112,CAST_Forms_MenuItem,UIView,MenuItem
113,CAST_Forms_PlsqlModule,File,File_PLL
122,CAST_Forms_Procedure,Procedure,Procedure
123,CAST_Forms_Function,Function,FunctionPurple
124,CAST_Forms_Package,Package,PackageOrange
125,CAST_Forms_PackageBody,Package,PackageOrange
215,JV_EJB_ENTITY,DataBlock,DataObjectBrown
216,JV_EJB_SESSION,Service,ServiceRed
222,CAST_Forms_RecordGroup,DataBlock,DataObject
223,CAST_Forms_LOV,List,List
224,CAST_Forms_PopupMenu,UIView,Menu
