typnam,catnamparent
CAST_ActiveMQ_Java_QueueCall,CAST_MQE_QueueCall
CAST_ActiveMQ_Java_QueueReceive,CAST_MQE_QueueReceive
CAST_ActiveMQ_Python_QueueCall,CAST_MQE_QueueCall
CAST_ActiveMQ_Python_QueueReceive,CAST_MQE_QueueReceive
CAST_Android_DeleteResourceService,CAST_ResourceService
CAST_Android_DeleteResourceService,CAST_DeleteResourceService
CAST_Android_GetResourceService,CAST_ResourceService
CAST_Android_GetResourceService,CAST_GetResourceService
CAST_Android_PostResourceService,CAST_ResourceService
CAST_Android_PostResourceService,CAST_PostResourceService
CAST_Android_PutResourceService,CAST_ResourceService
CAST_Android_PutResourceService,CAST_PutResourceService
CAST_AngularJS_DeleteHttpService,CAST_ResourceService
CAST_AngularJS_DeleteHttpService,CAST_DeleteResourceService
CAST_AngularJS_DeleteResourceService,CAST_ResourceService
CAST_AngularJS_DeleteResourceService,CAST_DeleteResourceService
CAST_AngularJS_GetHttpService,CAST_ResourceService
CAST_AngularJS_GetHttpService,CAST_GetResourceService
CAST_AngularJS_GetResourceService,CAST_ResourceService
CAST_AngularJS_GetResourceService,CAST_GetResourceService
CAST_AngularJS_PostHttpService,CAST_ResourceService
CAST_AngularJS_PostHttpService,CAST_PostResourceService
CAST_AngularJS_PostResourceService,CAST_ResourceService
CAST_AngularJS_PostResourceService,CAST_PostResourceService
CAST_AngularJS_PutHttpService,CAST_ResourceService
CAST_AngularJS_PutHttpService,CAST_PutResourceService
CAST_AngularJS_PutResourceService,CAST_ResourceService
CAST_AngularJS_PutResourceService,CAST_PutResourceService
CAST_ApacheCamel_ActiveMQ_Queue_Receive,CAST_MQE_QueueReceive
CAST_ApacheCamel_ActiveMQ_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_BeanCall,CAST_EL_Expression
CAST_ApacheCamel_BeanCall,CAST_EL_Expression
CAST_ApacheCamel_HTTP_AnyOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_AnyOperation,CAST_WebService_AnyOperation
CAST_ApacheCamel_HTTP_DeleteOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_DeleteOperation,CAST_WebService_DeleteOperation
CAST_ApacheCamel_HTTP_GetOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_GetOperation,CAST_WebService_GetOperation
CAST_ApacheCamel_HTTP_PostOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_PostOperation,CAST_WebService_PostOperation
CAST_ApacheCamel_HTTP_PutOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_PutOperation,CAST_WebService_PutOperation
CAST_ApacheCamel_IBM_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_IBM_QueueReceive,CAST_MQE_QueueReceive
CAST_ApacheCamel_JMS_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_JMS_QueueReceive,CAST_MQE_QueueReceive
CAST_ApacheCamel_ProcessCall,CAST_EL_Expression
CAST_ApacheCamel_ProcessCall,CAST_EL_Expression
CAST_ApacheCamel_RabbitMQ_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_RabbitMQ_QueueReceive,CAST_MQE_QueueReceive
CAST_AspDotNet_AnyOperation,CAST_WebService_Operation
CAST_AspDotNet_AnyOperation,CAST_WebService_AnyOperation
CAST_AspDotNet_DeleteOperation,CAST_WebService_Operation
CAST_AspDotNet_DeleteOperation,CAST_WebService_DeleteOperation
CAST_AspDotNet_GetOperation,CAST_WebService_Operation
CAST_AspDotNet_GetOperation,CAST_WebService_GetOperation
CAST_AspDotNet_PostOperation,CAST_WebService_Operation
CAST_AspDotNet_PostOperation,CAST_WebService_PostOperation
CAST_AspDotNet_PutOperation,CAST_WebService_Operation
CAST_AspDotNet_PutOperation,CAST_WebService_PutOperation
CAST_AWSJava_AnyOperation,CAST_WebService_Operation
CAST_AWSJava_AnyOperation,CAST_WebService_AnyOperation
CAST_AWSJava_DeleteOperation,CAST_WebService_Operation
CAST_AWSJava_DeleteOperation,CAST_WebService_DeleteOperation
CAST_AWSJava_GetOperation,CAST_WebService_Operation
CAST_AWSJava_GetOperation,CAST_WebService_GetOperation
CAST_AWSJava_PostOperation,CAST_WebService_Operation
CAST_AWSJava_PostOperation,CAST_WebService_PostOperation
CAST_AWSJava_PutOperation,CAST_WebService_Operation
CAST_AWSJava_PutOperation,CAST_WebService_PutOperation
CAST_BPEL_Invoke,CAST_SOAP_OperationCall
CAST_BPEL_Invoke,CAST_SOAP_OperationCall
CAST_COBOL_MQ_Publisher,CAST_IBM_MQ_Publisher
CAST_COBOL_MQ_Subscriber,CAST_IBM_MQ_Subscriber
CAST_DotNet_AnyOperation,CAST_WebService_Operation
CAST_DotNet_AnyOperation,CAST_WebService_AnyOperation
CAST_DotNet_DeleteOperation,CAST_WebService_Operation
CAST_DotNet_DeleteOperation,CAST_WebService_DeleteOperation
CAST_DotNet_GetOperation,CAST_WebService_Operation
CAST_DotNet_GetOperation,CAST_WebService_GetOperation
CAST_DotNet_PostOperation,CAST_WebService_Operation
CAST_DotNet_PostOperation,CAST_WebService_PostOperation
CAST_DotNet_PutOperation,CAST_WebService_Operation
