typnam,concept
CAST_ABAP_SAPUnresolvedTable,Data Source
CAST_ASETSQL_DML_Trigger,Data Object
CAST_ASETSQL_JFunction,Data Object
CAST_ASETSQL_Procedure,Data Object
CAST_ASETSQL_RelationalTable,Data Source
CAST_ASETSQL_View,Data Source
CAST_DB2ZOS_PrivateProcedure,Data Object
CAST_DB2ZOS_Procedure,Data Object
CAST_DB2ZOS_RelationalTable,Data Source
CAST_DB2ZOS_View,Data Source
CAST_DotNet_CosmosDB_Collection,Data Source
CAST_DotNet_Couchbase_Bucket,Data Source
CAST_DotNet_DynamoDB_Table,Data Source
CAST_DotNet_Elasticsearch_Index,Data Source
CAST_DotNet_MongoDB_Collection,Data Source
CAST_DotNet_Redis_Collection,Data Source
CAST_IMS_AnalyzedSegment,Data Source
CAST_IMS_SegmentPrototype,Data Source
CAST_JCL_Dataset,Data Source
CAST_Java_CosmosDB_Collection,Data Source
CAST_Java_CouchDB_Collection,Data Source
CAST_Java_Couchbase_Bucket,Data Source
CAST_Java_Couchbase_Collection,Data Source
CAST_Java_DynamoDB_Table,Data Source
CAST_Java_Elasticsearch_Index,Data Source
CAST_Java_MarkLogic_Collection,Data Source
CAST_Java_MongoDB_Collection,Data Source
CAST_Java_Redis_Collection,Data Source
CAST_Java_Unknown_Couchbase_Collection,Data Source
CAST_MSTSQL_DML_Trigger,Data Object
CAST_MSTSQL_Function,Data Object
CAST_MSTSQL_Procedure,Data Object
CAST_MSTSQL_RelationalTable,Data Source
CAST_MSTSQL_View,Data Source
CAST_NodeJS_CosmosDB_Collection,Data Source
CAST_NodeJS_DynamoDB_Table,Data Source
CAST_NodeJS_Elasticsearch_Index,Data Source
CAST_NodeJS_Elasticsearch_Unknown_Index,Data Source
CAST_NodeJS_Marklogic_Collection,Data Source
CAST_NodeJS_MongoDB_Collection,Data Source
CAST_NodeJS_Unknown_MongoDB_Collection,Data Source
CAST_Oracle_DDL_Trigger,Data Object
CAST_Oracle_DML_Trigger,Data Object
CAST_Oracle_Event_Trigger,Data Object
CAST_Oracle_Function,Data Object
CAST_Oracle_MaterializedView,Data Source
CAST_Oracle_ObjectTable,Data Source
CAST_Oracle_PrivateFunction,Data Object
CAST_Oracle_PrivateProcedure,Data Object
CAST_Oracle_Procedure,Data Object
CAST_Oracle_RelationalTable,Data Source
CAST_Oracle_View,Data Source
CAST_SpringData_UnknownTable,Data Source
CAST_TSQL_UDT_TABLE,Data Source
DB400Index,Data Source
DB400Record,Data Source
DB400Table,Data Source
DB400View,Data Source
SAPTable,Data Source
SAPView,Data Source
SQLScriptFunction,Data Object
SQLScriptFunctionSynonym,Data Object
SQLScriptMacro,Data Object
SQLScriptProcedure,Data Object
SQLScriptProcedureSynonym,Data Object
SQLScriptTable,Data Source
SQLScriptTableSynonym,Data Source
SQLScriptTrigger,Data Object
SQLScriptUnresolvedFunction,Data Object
SQLScriptUnresolvedTable,Data Source
SQLScriptView,Data Source
SQLScriptViewSynonym,Data Source
SQL_FUNCTION,Data Object
SQL_PROC,Data Object
SQL_TABLE,Data Source
SQL_TRIGGER,Data Object
VIEW,Data Source
