typnam,stacknam,technonam
FLEX_RemoteClass,Adobe,Adobe Flex
FLEX_setter,Adobe,Adobe Flex
FLEX_DestinationSource,Adobe,Adobe Flex
FLEX_destination,Adobe,Adobe Flex
FLEX_variable,Adobe,Adobe Flex
FLEX_RemoteObject,Adobe,Adobe Flex
FLEX_field,Adobe,Adobe Flex
FLEX_function,Adobe,Adobe Flex
FLEX_getter,Adobe,Adobe Flex
FLEX_class,Adobe,Adobe Flex
FLEX_package,Adobe,Adobe Flex
FLEX_project,Adobe,Adobe Flex
FLEX_script,Adobe,Adobe Flex
CAST_C_SQLQuery,C/C++,C/C++
CAST_Cpp_FreeFunction,C/C++,C/C++
CAST_Cpp_TemplateMemberFunctionInstance,C/C++,C/C++
CAST_Cpp_TemplateFreeFunctionInstance,C/C++,C/C++
CAST_Cpp_TemplateConstructorInstance,C/C++,C/C++
C_CLASSPROJECT,C/C++,C/C++
C_CLASSPROJECT_C,C/C++,C/C++
C_FILESCOPEFOLDER,C/C++,C/C++
C_GLOBAL,C/C++,C/C++
C_DIRECTORY,C/C++,C/C++
C_FILE,C/C++,C/C++
C_MEMBER,C/C++,C/C++
C_FUNCTION,C/C++,C/C++
C_METHOD,C/C++,C/C++
C_MACRO,C/C++,C/C++
C_ROOTDIRECTORY,C/C++,C/C++
C_CLASSFOLDER,C/C++,C/C++
C_ENUM,C/C++,C/C++
C_GLOBALVARIABLE,C/C++,C/C++
C_CONSTRUCTOR,C/C++,C/C++
C_DESTRUCTOR,C/C++,C/C++
C_STRUCT,C/C++,C/C++
C_UNION,C/C++,C/C++
C_CLASS,C/C++,C/C++
CAST_Cpp_TemplateConstructor,C/C++,C/C++
CAST_Cpp_TemplateFreeFunction,C/C++,C/C++
CAST_Cpp_Enum,C/C++,C/C++
CAST_Cpp_TemplateUnionInstance,C/C++,C/C++
CAST_Cpp_Union,C/C++,C/C++
CAST_Cpp_TemplateClassInstance,C/C++,C/C++
CAST_Cpp_EnumItem,C/C++,C/C++
CAST_Cpp_Constructor,C/C++,C/C++
CAST_Cpp_Destructor,C/C++,C/C++
CAST_Cpp_GlobalVariable,C/C++,C/C++
CAST_Cpp_Macro,C/C++,C/C++
C_ENUMITEM,C/C++,C/C++
C_TYPEDEF,C/C++,C/C++
C_TEMPLATE_PARAM,C/C++,C/C++
C_TEMPLATE_METHOD,C/C++,C/C++
C_TEMPLATE_CLASS_INSTANCE,C/C++,C/C++
C_TEMPLATE_CLASS,C/C++,C/C++
C_TEMPLATE_FUNCTION_INSTANCE,C/C++,C/C++
C_TEMPLATE_METHOD_INSTANCE,C/C++,C/C++
C_TEMPLATE_CTOR_INSTANCE,C/C++,C/C++
C_TEMPLATE_FUNCTION,C/C++,C/C++
CAST_C_CLR_Property,C/C++,C/C++
CAST_C_CLR_PropertyGetter,C/C++,C/C++
CAST_C_CLR_Event,C/C++,C/C++
CAST_C_CLR_EventAddon,C/C++,C/C++
